index,block_type,count
1,dappcoder_project,5
1,devid_connection,1
2,dappcoder_project,6
2,dappcoder_review,1
2,dappcoder_submission,1
2,devid_connection,2
2,devid_skill,4
3,devid_endorsment,1
3,dappcoder_project,7
3,dappcoder_review,2
3,dappcoder_submission,2
3,devid_connection,3
3,devid_skill,5
4,devid_endorsment,3
4,dappcoder_project,9
4,dappcoder_review,3
4,dappcoder_submission,3
4,devid_connection,4
4,devid_skill,6
5,devid_endorsment,3
5,dappcoder_project,12
5,dappcoder_review,5
5,dappcoder_submission,9
5,devid_connection,4
5,devid_skill,6
6,devid_endorsment,3
6,dappcoder_project,13
6,dappcoder_review,5
6,dappcoder_submission,10
6,devid_connection,5
6,devid_skill,6
7,devid_endorsment,4
7,dappcoder_project,14
7,dappcoder_review,7
7,dappcoder_submission,11
7,devid_connection,6
7,devid_skill,11
8,devid_endorsment,4
8,dappcoder_project,15
8,dappcoder_review,8
8,dappcoder_submission,12
8,devid_connection,7
8,devid_skill,11
9,devid_endorsment,5
9,dappcoder_project,17
9,dappcoder_review,12
9,dappcoder_submission,14
9,devid_connection,8
9,devid_skill,15
10,devid_endorsment,6
10,dappcoder_project,18
10,dappcoder_review,13
10,dappcoder_submission,17
10,devid_connection,9
10,devid_skill,16
11,devid_endorsment,7
11,dappcoder_project,19
11,dappcoder_review,14
11,dappcoder_submission,18
11,devid_connection,10
11,devid_skill,17
12,devid_endorsment,9
12,dappcoder_project,20
12,dappcoder_review,14
12,dappcoder_submission,18
12,devid_connection,11
12,devid_skill,19
13,devid_endorsment,10
13,dappcoder_project,22
13,dappcoder_review,15
13,dappcoder_submission,19
13,devid_connection,12
13,devid_skill,20
14,devid_endorsment,11
14,dappcoder_project,23
14,dappcoder_review,16
14,dappcoder_submission,20
14,devid_connection,13
14,devid_skill,21
15,devid_endorsment,11
15,dappcoder_project,24
15,dappcoder_review,17
15,dappcoder_submission,22
15,devid_connection,14
15,devid_skill,22
16,devid_endorsment,11
16,dappcoder_project,24
16,dappcoder_review,17
16,dappcoder_submission,22
16,devid_connection,15
16,devid_skill,26